feature,ols_coef,ridge_coef,lasso_coef
garage_cond_Fa,-14456.283266922781,-608.9225931013669,-373.4467177821797
garage_cond_Gd,-10381.435666595708,344.8046122086433,300.44299557336893
garage_cond_None,-4087.9401609999445,89.47079339626119,0.0
garage_cond_Po,-11940.131645181089,-112.39398718871763,-0.0
garage_cond_TA,-10399.770523778458,-256.2262157942183,-0.0
exterior_1st_AsphShn,-14270.008719052423,-27.703847629218416,0.0
exterior_1st_BrkComm,-33252.455765894876,-591.1731956669958,-327.2440848238939
exterior_1st_BrkFace,18774.936816014895,3358.866711626667,3246.627890793516
exterior_1st_CemntBd,-8377.317296763591,460.3291899760982,0.0
exterior_1st_HdBoard,-4380.173097083857,-680.0605937211322,-596.421632961007
exterior_1st_MetalSd,-2260.0311447515874,197.8177512173535,0.0
exterior_1st_Plywood,-2166.384445010437,47.22529126958351,-0.0
exterior_1st_Stucco,-745.2635268054715,184.43426008757436,0.0
exterior_1st_VinylSd,-6117.0853847104445,-271.9473198098436,0.0
exterior_1st_Wd Sdng,-2595.985853365962,-644.4168973590143,-0.0
exterior_1st_WdShing,-3338.4094916558784,-97.94674161395643,-0.0
mas_vnr_type_BrkFace,3790.8924927504527,691.461593237866,0.0
mas_vnr_type_None,3608.4724606815903,469.44211005827265,-0.0
mas_vnr_type_Stone,5672.845299234342,697.9699402843862,213.22542279791784
electrical_FuseF,-3801.9893364221475,-434.94265710153593,-60.3279863905998
electrical_FuseP,-4815.56678295868,-105.44364676342457,-0.0
electrical_SBrkr,-1710.5580455707914,-481.0445453210769,-328.3530646282137
land_slope_Mod,-123.99591247245046,235.87089926640525,128.7714828027086
land_slope_Sev,-9523.301849037214,-595.5586053464657,-205.38871732907205
0,0.10390318240267349,305.6519010924114,0.0
1,33.23996101517219,-210.42983865801247,-0.0
2,0.00022600553955953728,-19.284367565985455,0.0
3,-0.6436251584629851,-445.3812174342959,-0.0
4,9.24245521541798,-493.6183555735784,-758.2787597272305
